Date,Value
2024-12-31,0.108
2023-12-31,0.218
2022-12-31,0.275
2021-12-31,0.276
2020-12-31,0.087
2019-12-31,-0.37
2018-12-31,-0.525
2017-12-31,-0.799
2016-12-31,-2.399
2015-12-31,-2.052
2014-12-31,-0.823
2013-12-31,-1.298
2012-12-31,-1.178
2011-12-31,-0.473
2010-12-31,-1.748
2009-12-31,-3.55
2008-12-31,0.748
2007-12-31,1.525
2006-12-31,1.298
2005-12-31,0.853
2004-12-31,-0.097
2003-12-31,-0.902
2002-12-31,-0.35
2001-12-31,-0.306
2000-12-31,1.524
1999-12-31,0.154
1998-12-31,-1.251
1997-12-31,-1.497
1996-12-31,-2.325
1995-12-31,-0.806
1994-12-31,-0.421
1993-12-31,-2.074
1992-12-31,-2.401
1991-12-31,-1.507
1990-12-31,1.258
1989-12-31,2.899
1988-12-31,2.5
1987-12-31,0.606
1986-12-31,-0.532
1985-12-31,0.527
1984-12-31,-0.846
1983-12-31,-3.569
1982-12-31,-3.538
1981-12-31,2.144
1980-12-31,1.102
