provinces,Useless,GDP Per Capita,,,,,
China (mainland),US$21233,21233,,,,,
Beijing,US$47154,47154,,,,,
Shanghai,US$44576,44576,,,,,
Jiangsu,US$35776,35776,,,,,
Fujian,US$31424,31424,,,,,
Tianjin,US$29543,29543,,,,,
Zhejiang,US$29360,29360,,,,,
Guangdong,US$25249,25249,,,,,
Inner Mongolia,US$23903,23903,,,,,
Hubei,US$22809,22809,,,,,
Chongqing,US$22464,22464,,,,,
Shandong,US$21309,21309,,,,,
Shaanxi,US$20531,20531,,,,,
Shanxi,US$18254,18254,,,,,
Anhui,US$18237,18237,,,,,
Hunan,US$18235,18235,,,,,
Jiangxi,US$17573,17573,,,,,
Ningxia,US$17290,17290,,,,,
Liaoning,US$17040,17040,,,,,
Xinjiang,US$16985,16985,,,,,
Sichuan,US$16793,16793,,,,,
Hainan,US$16502,16502,,,,,
Henan,US$15388,15388,,,,,
Yunnan,US$15291,15291,,,,,
Qinghai,US$15046,15046,,,,,
Tibet,US$14479,14479,,,,,
Hebei,US$14122,14122,,,,,
Jilin,US$13713,13713,,,,,
Guizhou,US$12964,12964,,,,,
Guangxi,US$12925,12925,,,,,
Heilongjiang,US$12861,12861,,,,,
Gansu,US$11142,11142,,,,,
,,,,,,,
,,,,,,,
