Date,Value
2024-12-31,0.0
2023-12-31,0.0
2022-12-31,0.025
2021-12-31,0.039
2020-12-31,0.075
2019-12-31,0.113
2018-12-31,0.233
2017-12-31,0.078
2016-12-31,-0.754
2015-12-31,-0.788
2014-12-31,-0.851
2013-12-31,-0.845
2012-12-31,-0.514
2011-12-31,0.061
2010-12-31,-1.12
2009-12-31,-2.137
2008-12-31,1.426
2007-12-31,2.124
2006-12-31,1.015
2005-12-31,0.133
2004-12-31,0.178
2003-12-31,-0.707
2002-12-31,0.355
2001-12-31,1.229
2000-12-31,1.459
1999-12-31,0.023
1998-12-31,-0.881
1997-12-31,-1.962
1996-12-31,-2.015
1995-12-31,-1.356
1994-12-31,-1.462
1993-12-31,-1.863
1992-12-31,0.471
1991-12-31,0.823
1990-12-31,1.849
1989-12-31,1.293
1988-12-31,-0.424
1987-12-31,-2.463
1986-12-31,-2.646
1985-12-31,-2.702
1984-12-31,-2.192
1983-12-31,-1.628
1982-12-31,-0.856
1981-12-31,-1.293
1980-12-31,-0.463
