Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Afghanistan,AFG,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.39,0.39348924,,0.40028414
Angola,AGO,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.36,0.36019096,,0.36240539
Albania,ALB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.54360294,,,,,,,0.62,0.62866628,,0.63425094
Andorra,AND,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
United Arab Emirates,ARE,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.62127405,,,,,,,0.66,0.67600125,,0.6730119
Argentina,ARG,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.58855706,,,,,,,0.61,0.61736673,,0.60214472
Armenia,ARM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.57,0.58172596,,0.5789988
American Samoa,ASM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Antigua and Barbuda,ATG,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,0.57821697,,0.5957039
Australia,AUS,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.75484377,,,,,,,0.8,0.78083396,,0.77023953
Austria,AUT,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.73778212,,,,,,,0.79,0.76867312,,0.74673975
Azerbaijan,AZE,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.49745739,,,,,,,0.6,0.62931216,,0.57776755
Burundi,BDI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.34287551,,,,,,,0.38,0.3895748,,0.38617063
Belgium,BEL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.75272685,,,,,,,0.76,0.76275975,,0.76041967
Benin,BEN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.36558479,,,,,,,0.41,0.39695033,,0.40029073
Burkina Faso,BFA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.31972128,,,,,,,0.37,0.37828398,,0.38369194
Bangladesh,BGD,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.48,0.45855328,,0.46403643
Bulgaria,BGR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.63661927,,,,,,,0.68,0.67027724,,0.61389816
Bahrain,BHR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.60491228,,,,,,,0.67,0.66389877,,0.65247202
"Bahamas, The",BHS,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.62,0.61926502,,0.57968408
Belarus,BLR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,0.70007819
Belize,BLZ,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Bermuda,BMU,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Bolivia,BOL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Brazil,BRA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.53295249,,,,,,,0.56,0.54572374,,0.55149794
Barbados,BRB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Brunei Darussalam,BRN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,0.62639135
Bhutan,BTN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,0.47529703
Botswana,BWA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.36771211,,,,,,,0.42,0.4125165,,0.4140285
Central African Republic,CAF,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,0.29163191
Canada,CAN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.77410376,,,,,,,0.8,0.80008996,,0.7975201
Switzerland,CHE,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.76814371,,,,,,,0.77,0.76610762,,0.75611514
Channel Islands,CHI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Chile,CHL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.62636,,,,,,,0.67,0.66526514,,0.65160418
China,CHN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.67,0.64709884,,0.65310264
Cote d'Ivoire,CIV,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.3038381,,,,,,,0.35,0.36996835,,0.37988934
Cameroon,CMR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.37978294,,,,,,,0.39,0.39332068,,0.39740151
"Congo, Dem. Rep.",COD,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.37,0.36452875,,0.36636928
"Congo, Rep.",COG,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.40927175,,,,,,,0.42,0.41783553,,0.41926572
Colombia,COL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.58024949,,,,,,,0.59,0.59865385,,0.6043303
Comoros,COM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.41,0.40095013,,0.4046883
Cabo Verde,CPV,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Costa Rica,CRI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.59775889,,,,,,,0.62,0.60325879,,0.62863505
Cuba,CUB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Curacao,CUW,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Cayman Islands,CYM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Cyprus,CYP,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.68636197,,,,,,,0.75,0.75461704,,0.75552022
Czech Republic,CZE,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.72696912,,,,,,,0.78,0.76451671,,0.75225741
Germany,DEU,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.76074028,,,,,,,0.8,0.76377279,,0.75116247
Djibouti,DJI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Dominica,DMA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,0.55173725,,0.54474932
Denmark,DNK,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.74873841,,,,,,,0.77,0.77083182,,0.75509483
Dominican Republic,DOM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.49,0.50688028,,0.50276691
Algeria,DZA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5312829,,,,,,,0.52,0.53199393,,0.53455645
Ecuador,ECU,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.52580673,,,,,,,0.6,0.59621954,,0.59425485
"Egypt, Arab Rep.",EGY,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.47885305,,,,,,,0.49,0.49251235,,0.49437466
Eritrea,ERI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Spain,ESP,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.70828557,,,,,,,0.74,0.7361564,,0.72825503
Estonia,EST,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.72566378,,,,,,,0.75,0.77412528,,0.7772032
Ethiopia,ETH,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.39,0.38410059,,0.38278484
Finland,FIN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.81736147,,,,,,,0.81,0.814484,,0.79600102
Fiji,FJI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,0.50857329
France,FRA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.75689185,,,,,,,0.77,0.75596029,,0.76273721
Faroe Islands,FRO,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,0.46641678,,0.50596654
Gabon,GAB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.45,0.45638788,,0.45761245
United Kingdom,GBR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7654537,,,,,,,0.78,0.77698225,,0.78294295
Georgia,GEO,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.54114884,,,,,,,0.61,0.60905772,,0.5689258
Ghana,GHA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.44,0.44349009,,0.4500564
Gibraltar,GIB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Guinea,GIN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.37,0.3690826,,0.37094247
"Gambia, The",GMB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.37168971,,,,,,,0.4,0.40329286,,0.42157063
Guinea-Bissau,GNB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Equatorial Guinea,GNQ,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Greece,GRC,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.71486032,,,,,,,0.68,0.69480586,,0.69000649
Grenada,GRD,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,0.54119492,,0.56507051
Greenland,GRL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Guatemala,GTM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.44194081,,,,,,,0.46,0.45677122,,0.46127009
Guam,GUM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
