Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29465867,0.27394879,0.3095123,0.31393203,0.10153788,0.11740273,0.12034221,0.09729813,0.03534589,0.05785035,0.06953739,0.06848921,0.01354339,0.06542993,0.03517556,0.04273588,0.1986755,0.24623525,0.36217304,0.20799252,0.20815074,0.19175667,0.23234238,0.26748888,0.27283066,1.76571642,1.81541173,1.15297067,,,
Africa Eastern and Southern,AFE,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,0.56685603,0.58647499,0.6448198,0.71455772,0.79315642,1.05338153,1.14507352,1.12749516,1.04986745,0.8141361,0.95220542,0.94331765,1.0900537,0.91364444,0.88416524,0.97687076,0.82259796,0.91403207,0.86509046,0.73386621,0.98904827,1.10214552,1.15672114,1.09882219,0.89621962,1.05687318,0.93029905,0.95895944,0.68103367,0.69220858,0.71963872,0.79968158,0.92065212,0.93137948,1.00509773,1.0113075,0.98548391,1.080014,1.19922628,1.04910496,1.0257852,1.34847112,1.43161151,1.49084422,
Afghanistan,AFG,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.88572295,1.13316158,2.38515686,1.00598384,1.10218814,1.72321212,1.23611384,1.82199675,3.46484496,4.38709021,4.45098477,4.40742613,3.92181214,
Africa Western and Central,AFW,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,0.43006536,0.47942228,0.42808811,0.48021087,0.22666669,0.20064616,0.26875592,0.2829871,0.36212926,0.51901994,0.53118758,0.58805806,0.63220282,0.59818138,0.65240235,0.74904904,1.56417692,1.42399923,0.99221624,0.89472516,1.0434638,0.9460348,1.59226134,1.64438155,1.48350477,1.35416962,1.34807015,1.69769641,5.38475425,4.93507722,4.56901362,4.02444558,4.31604845,4.02334264,4.11687146,3.80600837,3.42068393,3.36097371,4.10356399,4.10950983,4.69549508,4.74607998,4.46400173,3.75803902,
Angola,AGO,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06831909,,,,,,,,,0,0,0,0.09270983,0.00023093,0.02144647,0.00018316,0.03150953,0.02679939,0.02125499,0.00956568,0.00394373,0.00116128,0.00155816,0.00385326,0.01379515,
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2759615,28.009421,16.3268429,17.8580022,17.2175548,13.2963534,19.8015327,12.6769794,17.1764075,17.8297305,16.8711703,15.8379965,16.1548068,16.0170459,15.2816567,13.7489504,14.482807,14.2616102,13.3024611,12.0402363,11.5242862,10.0330776,10.7423012,11.3364407,11.0107678,10.0756815,9.62106402,9.56356503,9.84701584,
Andorra,AND,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05973776,1.89601369,1.9585492,1.77464931,1.87382087,1.89665752,1.89611074,2.0076515,2.00412174,2.23774278,2.3970054,2.41986302,2.58116764,2.44276723,2.49478464,2.94626012,
United Arab Emirates,ARE,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,0.04476363,0.06064778,0.07276325,0.05338293,0.03321176,0.02692849,0.04045921,0.03053723,0.02884587,0.03060135,0.02399237,0.03465693,0.0161582,0.01007801,0.0067311,0.02437255,0.02423866,0.02464813,0.02388391,0.022434,0.02291366,0.02267894,0.0303809,0.07056282,0.21144242,0.21430087,0.18935013,0.21741789,0.23247412,0.21093376,0.19502938,0.18876479,0.15209137,0.13154053,0.10577868,0.09691667,0.0960152,0.0831331,0.07023444,0.07456745,0.09954685,0.11987234,0.16208406,
