Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.79701235,7.83814224,7.84944477,7.83970146,7.83328628,7.84185651,7.85870301,7.81090269,7.78968034,7.72484429,7.73294543,7.95958184,7.78796507,7.31032819,7.1176582,6.98947687,6.73876522,6.27197724,6.32390919,6.86778557,6.74808147,6.56217865,6.44545648,6.4051955,6.4900412,6.61020531,6.71495474,6.73116273,6.91435325,7.56318685,8.1117826
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6490002,10.8210001,10.7229996,10.7259998,11.1789999,10.9619999,10.783,10.802,10.809,10.8059998,10.809,11.257,11.1409998,10.9879999,11.217,11.099,11.3009996,11.0930004,11.3109999,11.3520002,11.0539999,11.3409996,11.1929998,11.1420002,11.1269999,11.158,11.1800003,11.1520004,11.217,11.71,13.283
Africa Western and Central,AFW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41545531,4.5305742,4.54626483,4.53915208,4.52574525,4.56677371,4.60236699,4.66264969,4.86369993,4.92142316,4.86575188,4.78138507,4.75116751,4.73188045,4.7279469,4.64887182,4.62766133,4.59939251,4.58329066,4.55466216,4.54837615,4.63760208,4.41021563,4.6880883,4.6267372,5.56701669,6.01950535,6.04109242,6.06336228,6.77491379,6.83900865
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20800018,4.20800018,4.23099995,4.16200018,4.11399984,4.09700012,4.08799982,4.07200003,4.05499983,4.03000021,4.00400019,3.96099997,3.95799994,3.91599989,3.88199997,3.85800004,3.8210001,3.79299998,3.77999997,9.43000031,7.36000013,7.34700012,7.36600018,7.37200022,7.3920002,7.41200018,7.40799999,7.421,7.421,8.33300018,8.52999973
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3070002,30.0149994,25.2579994,20.8400002,14.6110001,13.9309998,16.8759995,20.0470009,20.8400002,19.0279999,18.5750008,17.8950005,16.9890003,16.3099995,15.9700003,15.6300001,15.9700003,13.0600004,13.6700001,14.0900002,13.4799995,13.3800001,15.8699999,18.0499992,17.1900005,15.4200001,13.6199999,12.3000002,11.4700003,13.3290005,11.8190002
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6246605,12.1235966,12.8598206,12.9492633,13.3171973,12.3824832,11.9480387,11.9699592,12.1090958,12.5961014,12.4693804,12.4650008,12.3905207,11.3526728,11.1959373,10.4258379,10.0272237,9.72474214,9.32921993,9.40091156,10.4766733,10.6631291,10.7353931,10.8722266,10.9659005,10.7611153,10.8963786,10.5023356,10.0061535,11.487321,11.625344
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86600006,1.84200001,1.84899998,1.80599999,1.79999995,1.89999998,1.98000002,2.13700008,2.21600008,2.25,2.49300003,2.648,2.75099993,2.90700006,3.11999989,2.93700004,2.87199998,2.73699999,2.6789999,2.48099995,2.30200005,2.18499994,2.04399991,1.91100001,1.76800001,1.63999999,2.46000004,2.352,2.23000002,3.18799996,3.35800004
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44000006,6.36000013,10.1000004,11.7600002,18.7999992,17.1100006,14.8199997,12.6499996,14.0500002,15,17.3199997,19.5900002,15.3599997,13.5200005,11.5100002,10.0799999,8.47000027,7.84000015,8.64999962,7.71000004,7.17999983,7.21999979,7.0999999,7.26999998,7.52099991,8.11100006,8.35000038,9.22000027,9.84000015,11.46,10.9020004
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60000002,1.79999995,5.30000019,6.5999999,6.69999981,9.30000019,10.8000002,9.39999962,11.1999998,11.0480003,10.9119997,10.776,10.5939999,10.3439999,10.2030001,9.99699974,9.81000042,14.3929996,18.4400005,19.0100002,18.4400005,17.2999992,16.1800003,17.5,18.2600002,17.6200008,17.7000008,18.9699993,18.2999992,21.2059994,20.8969994
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.57999992,10.7299995,10.8699999,9.72000027,8.47000027,8.51000023,8.35999966,7.67999983,6.86999989,6.28000021,6.73999977,6.36999989,5.92999983,5.38999987,5.03000021,4.78000021,4.38000011,4.23000002,5.55999994,5.21000004,5.07999992,5.21999979,5.65999985,6.07999992,6.05000019,5.71000004,5.59000015,5.30000019,5.15999985,6.46000004,5.11199999
